Round,Date,Team 1,FT,HT,Team 2,Year,Country,FT Team 1,FT Team 2,HT Team 1,HT Team 2,GGD,Team 1 (pts),Team 2 (pts)
1,(Sat) 19 Aug 1995 (W33),Aston Villa FC ,3-1,3-0,Manchester United FC ,1995,ENG,3,1,3,0,2,3,0
1,(Sat) 19 Aug 1995 (W33),Blackburn Rovers FC ,1-0,1-0,Queens Park Rangers FC ,1995,ENG,1,0,1,0,1,3,0
1,(Sat) 19 Aug 1995 (W33),Chelsea FC ,0-0,0-0,Everton FC ,1995,ENG,0,0,0,0,0,1,1
1,(Sat) 19 Aug 1995 (W33),Liverpool FC ,1-0,0-0,Sheffield Wednesday FC ,1995,ENG,1,0,0,0,1,3,0
1,(Sat) 19 Aug 1995 (W33),Manchester City FC ,1-1,0-1,Tottenham Hotspur FC ,1995,ENG,1,1,0,1,0,1,1
1,(Sat) 19 Aug 1995 (W33),Newcastle United FC ,3-0,1-0,Coventry City FC ,1995,ENG,3,0,1,0,3,3,0
1,(Sat) 19 Aug 1995 (W33),Southampton FC ,3-4,1-3,Nottingham Forest FC ,1995,ENG,3,4,1,3,1,0,3
1,(Sat) 19 Aug 1995 (W33),West Ham United FC ,1-2,1-0,Leeds United FC ,1995,ENG,1,2,1,0,1,0,3
1,(Sat) 19 Aug 1995 (W33),Wimbledon FC ,3-2,2-2,Bolton Wanderers FC ,1995,ENG,3,2,2,2,1,3,0
1,(Sun) 20 Aug 1995 (W33),Arsenal FC ,1-1,1-1,Middlesbrough FC ,1995,ENG,1,1,1,1,0,1,1
2,(Mon) 21 Aug 1995 (W34),Leeds United FC ,1-0,0-0,Liverpool FC ,1995,ENG,1,0,0,0,1,3,0
2,(Tue) 22 Aug 1995 (W34),Bolton Wanderers FC ,1-3,0-1,Newcastle United FC ,1995,ENG,1,3,0,1,2,0,3
2,(Wed) 23 Aug 1995 (W34),Coventry City FC ,2-1,1-0,Manchester City FC ,1995,ENG,2,1,1,0,1,3,0
2,(Wed) 23 Aug 1995 (W34),Everton FC ,0-2,0-0,Arsenal FC ,1995,ENG,0,2,0,0,2,0,3
2,(Wed) 23 Aug 1995 (W34),Manchester United FC ,2-1,0-0,West Ham United FC ,1995,ENG,2,1,0,0,1,3,0
2,(Wed) 23 Aug 1995 (W34),Nottingham Forest FC ,0-0,0-0,Chelsea FC ,1995,ENG,0,0,0,0,0,1,1
2,(Wed) 23 Aug 1995 (W34),Queens Park Rangers FC ,0-3,0-1,Wimbledon FC ,1995,ENG,0,3,0,1,3,0,3
2,(Wed) 23 Aug 1995 (W34),Sheffield Wednesday FC ,2-1,1-0,Blackburn Rovers FC ,1995,ENG,2,1,1,0,1,3,0
2,(Wed) 23 Aug 1995 (W34),Tottenham Hotspur FC ,0-1,0-0,Aston Villa FC ,1995,ENG,0,1,0,0,1,0,3
2,(Sat) 26 Aug 1995 (W34),Bolton Wanderers FC ,2-1,1-0,Blackburn Rovers FC ,1995,ENG,2,1,1,0,1,3,0
3,(Sat) 26 Aug 1995 (W34),Coventry City FC ,0-0,0-0,Arsenal FC ,1995,ENG,0,0,0,0,0,1,1
3,(Sat) 26 Aug 1995 (W34),Everton FC ,2-0,2-0,Southampton FC ,1995,ENG,2,0,2,0,2,3,0
3,(Sat) 26 Aug 1995 (W34),Leeds United FC ,2-0,1-0,Aston Villa FC ,1995,ENG,2,0,1,0,2,3,0
3,(Sat) 26 Aug 1995 (W34),Manchester United FC ,3-1,1-0,Wimbledon FC ,1995,ENG,3,1,1,0,2,3,0
3,(Sat) 26 Aug 1995 (W34),Middlesbrough FC ,2-0,1-0,Chelsea FC ,1995,ENG,2,0,1,0,2,3,0
3,(Sat) 26 Aug 1995 (W34),Nottingham Forest FC ,1-1,1-1,West Ham United FC ,1995,ENG,1,1,1,1,0,1,1
3,(Sat) 26 Aug 1995 (W34),Queens Park Rangers FC ,1-0,1-0,Manchester City FC ,1995,ENG,1,0,1,0,1,3,0
3,(Sat) 26 Aug 1995 (W34),Tottenham Hotspur FC ,1-3,0-2,Liverpool FC ,1995,ENG,1,3,0,2,2,0,3
3,(Sun) 27 Aug 1995 (W34),Sheffield Wednesday FC ,0-2,0-0,Newcastle United FC ,1995,ENG,0,2,0,0,2,0,3
3,(Mon) 28 Aug 1995 (W35),Blackburn Rovers FC ,1-2,0-0,Manchester United FC ,1995,ENG,1,2,0,0,1,0,3
4,(Tue) 29 Aug 1995 (W35),Arsenal FC ,1-1,1-0,Nottingham Forest FC ,1995,ENG,1,1,1,0,0,1,1
4,(Wed) 30 Aug 1995 (W35),Aston Villa FC ,1-0,0-0,Bolton Wanderers FC ,1995,ENG,1,0,0,0,1,3,0
4,(Wed) 30 Aug 1995 (W35),Chelsea FC ,2-2,2-1,Coventry City FC ,1995,ENG,2,2,2,1,0,1,1
4,(Wed) 30 Aug 1995 (W35),Liverpool FC ,1-0,1-0,Queens Park Rangers FC ,1995,ENG,1,0,1,0,1,3,0
4,(Wed) 30 Aug 1995 (W35),Manchester City FC ,0-2,0-0,Everton FC ,1995,ENG,0,2,0,0,2,0,3
4,(Wed) 30 Aug 1995 (W35),Newcastle United FC ,1-0,0-0,Middlesbrough FC ,1995,ENG,1,0,0,0,1,3,0
4,(Wed) 30 Aug 1995 (W35),Southampton FC ,1-1,0-0,Leeds United FC ,1995,ENG,1,1,0,0,0,1,1
4,(Wed) 30 Aug 1995 (W35),West Ham United FC ,1-1,1-0,Tottenham Hotspur FC ,1995,ENG,1,1,1,0,0,1,1
4,(Wed) 30 Aug 1995 (W35),Wimbledon FC ,2-2,1-1,Sheffield Wednesday FC ,1995,ENG,2,2,1,1,0,1,1
4,(Sat) 9 Sep 1995 (W36),Blackburn Rovers FC ,1-1,0-1,Aston Villa FC ,1995,ENG,1,1,0,1,0,1,1
5,(Sat) 9 Sep 1995 (W36),Bolton Wanderers FC ,1-1,1-0,Middlesbrough FC ,1995,ENG,1,1,1,0,0,1,1
5,(Sat) 9 Sep 1995 (W36),Coventry City FC ,1-1,1-1,Nottingham Forest FC ,1995,ENG,1,1,1,1,0,1,1
5,(Sat) 9 Sep 1995 (W36),Everton FC ,2-3,1-1,Manchester United FC ,1995,ENG,2,3,1,1,1,0,3
5,(Sat) 9 Sep 1995 (W36),Queens Park Rangers FC ,0-3,0-0,Sheffield Wednesday FC ,1995,ENG,0,3,0,0,3,0,3
5,(Sat) 9 Sep 1995 (W36),Southampton FC ,1-0,0-0,Newcastle United FC ,1995,ENG,1,0,0,0,1,3,0
5,(Sat) 9 Sep 1995 (W36),Tottenham Hotspur FC ,2-1,1-0,Leeds United FC ,1995,ENG,2,1,1,0,1,3,0
5,(Sat) 9 Sep 1995 (W36),Wimbledon FC ,1-0,1-0,Liverpool FC ,1995,ENG,1,0,1,0,1,3,0
5,(Sun) 10 Sep 1995 (W36),Manchester City FC ,0-1,0-0,Arsenal FC ,1995,ENG,0,1,0,0,1,0,3
5,(Mon) 11 Sep 1995 (W37),West Ham United FC ,1-3,0-2,Chelsea FC ,1995,ENG,1,3,0,2,2,0,3
5,(Tue) 12 Sep 1995 (W37),Middlesbrough FC ,0-0,0-0,Southampton FC ,1995,ENG,0,0,0,0,0,1,1
6,(Sat) 16 Sep 1995 (W37),Arsenal FC ,1-0,0-0,West Ham United FC ,1995,ENG,1,0,0,0,1,3,0
6,(Sat) 16 Sep 1995 (W37),Aston Villa FC ,2-0,1-0,Wimbledon FC ,1995,ENG,2,0,1,0,2,3,0
6,(Sat) 16 Sep 1995 (W37),Chelsea FC ,3-0,0-0,Southampton FC ,1995,ENG,3,0,0,0,3,3,0
6,(Sat) 16 Sep 1995 (W37),Leeds United FC ,1-3,0-2,Queens Park Rangers FC ,1995,ENG,1,3,0,2,2,0,3
6,(Sat) 16 Sep 1995 (W37),Liverpool FC ,3-0,3-0,Blackburn Rovers FC ,1995,ENG,3,0,3,0,3,3,0
6,(Sat) 16 Sep 1995 (W37),Manchester United FC ,3-0,2-0,Bolton Wanderers FC ,1995,ENG,3,0,2,0,3,3,0
6,(Sat) 16 Sep 1995 (W37),Middlesbrough FC ,2-1,0-0,Coventry City FC ,1995,ENG,2,1,0,0,1,3,0
6,(Sat) 16 Sep 1995 (W37),Newcastle United FC ,3-1,2-0,Manchester City FC ,1995,ENG,3,1,2,0,2,3,0
6,(Sat) 16 Sep 1995 (W37),Sheffield Wednesday FC ,1-3,1-1,Tottenham Hotspur FC ,1995,ENG,1,3,1,1,2,0,3
6,(Sun) 17 Sep 1995 (W37),Nottingham Forest FC ,3-2,2-0,Everton FC ,1995,ENG,3,2,2,0,1,3,0
7,(Sat) 23 Sep 1995 (W38),Arsenal FC ,4-2,2-2,Southampton FC ,1995,ENG,4,2,2,2,2,3,0
7,(Sat) 23 Sep 1995 (W38),Aston Villa FC ,1-1,0-0,Nottingham Forest FC ,1995,ENG,1,1,0,0,0,1,1
7,(Sat) 23 Sep 1995 (W38),Blackburn Rovers FC ,5-1,2-1,Coventry City FC ,1995,ENG,5,1,2,1,4,3,0
7,(Sat) 23 Sep 1995 (W38),Liverpool FC ,5-2,2-0,Bolton Wanderers FC ,1995,ENG,5,2,2,0,3,3,0
7,(Sat) 23 Sep 1995 (W38),Manchester City FC ,0-1,0-1,Middlesbrough FC ,1995,ENG,0,1,0,1,1,0,3
7,(Sat) 23 Sep 1995 (W38),Sheffield Wednesday FC ,0-0,0-0,Manchester United FC ,1995,ENG,0,0,0,0,0,1,1
7,(Sat) 23 Sep 1995 (W38),West Ham United FC ,2-1,2-1,Everton FC ,1995,ENG,2,1,2,1,1,3,0
7,(Sat) 23 Sep 1995 (W38),Wimbledon FC ,2-4,1-3,Leeds United FC ,1995,ENG,2,4,1,3,2,0,3
7,(Sun) 24 Sep 1995 (W38),Newcastle United FC ,2-0,1-0,Chelsea FC ,1995,ENG,2,0,1,0,2,3,0
7,(Mon) 25 Sep 1995 (W39),Queens Park Rangers FC ,2-3,1-0,Tottenham Hotspur FC ,1995,ENG,2,3,1,0,1,0,3
8,(Sat) 30 Sep 1995 (W39),Bolton Wanderers FC ,0-1,0-0,Queens Park Rangers FC ,1995,ENG,0,1,0,0,1,0,3
8,(Sat) 30 Sep 1995 (W39),Chelsea FC ,1-0,0-0,Arsenal FC ,1995,ENG,1,0,0,0,1,3,0
8,(Sat) 30 Sep 1995 (W39),Coventry City FC ,0-3,0-1,Aston Villa FC ,1995,ENG,0,3,0,1,3,0,3
8,(Sat) 30 Sep 1995 (W39),Leeds United FC ,2-0,1-0,Sheffield Wednesday FC ,1995,ENG,2,0,1,0,2,3,0
8,(Sat) 30 Sep 1995 (W39),Middlesbrough FC ,2-0,1-0,Blackburn Rovers FC ,1995,ENG,2,0,1,0,2,3,0
8,(Sat) 30 Sep 1995 (W39),Nottingham Forest FC ,3-0,1-0,Manchester City FC ,1995,ENG,3,0,1,0,3,3,0
8,(Sat) 30 Sep 1995 (W39),Tottenham Hotspur FC ,3-1,2-1,Wimbledon FC ,1995,ENG,3,1,2,1,2,3,0
8,(Sun) 1 Oct 1995 (W39),Everton FC ,1-3,0-1,Newcastle United FC ,1995,ENG,1,3,0,1,2,0,3
8,(Sun) 1 Oct 1995 (W39),Manchester United FC ,2-2,1-1,Liverpool FC ,1995,ENG,2,2,1,1,0,1,1
8,(Mon) 2 Oct 1995 (W40),Southampton FC ,0-0,0-0,West Ham United FC ,1995,ENG,0,0,0,0,0,1,1
9,(Sat) 14 Oct 1995 (W41),Aston Villa FC ,0-1,0-0,Chelsea FC ,1995,ENG,0,1,0,0,1,0,3
9,(Sat) 14 Oct 1995 (W41),Blackburn Rovers FC ,2-1,1-0,Southampton FC ,1995,ENG,2,1,1,0,1,3,0
9,(Sat) 14 Oct 1995 (W41),Bolton Wanderers FC ,1-1,1-0,Everton FC ,1995,ENG,1,1,1,0,0,1,1
9,(Sat) 14 Oct 1995 (W41),Leeds United FC ,0-3,0-1,Arsenal FC ,1995,ENG,0,3,0,1,3,0,3
9,(Sat) 14 Oct 1995 (W41),Liverpool FC ,0-0,0-0,Coventry City FC ,1995,ENG,0,0,0,0,0,1,1
9,(Sat) 14 Oct 1995 (W41),Manchester United FC ,1-0,1-0,Manchester City FC ,1995,ENG,1,0,1,0,1,3,0
9,(Sat) 14 Oct 1995 (W41),Queens Park Rangers FC ,2-3,1-0,Newcastle United FC ,1995,ENG,2,3,1,0,1,0,3
9,(Sat) 14 Oct 1995 (W41),Tottenham Hotspur FC ,0-1,0-0,Nottingham Forest FC ,1995,ENG,0,1,0,0,1,0,3
9,(Sun) 15 Oct 1995 (W41),Sheffield Wednesday FC ,0-1,0-0,Middlesbrough FC ,1995,ENG,0,1,0,0,1,0,3
9,(Mon) 16 Oct 1995 (W42),Wimbledon FC ,0-1,0-1,West Ham United FC ,1995,ENG,0,1,0,1,1,0,3
10,(Sat) 21 Oct 1995 (W42),Arsenal FC ,2-0,0-0,Aston Villa FC ,1995,ENG,2,0,0,0,2,3,0
10,(Sat) 21 Oct 1995 (W42),Chelsea FC ,1-4,0-2,Manchester United FC ,1995,ENG,1,4,0,2,3,0,3
10,(Sat) 21 Oct 1995 (W42),Coventry City FC ,0-1,0-1,Sheffield Wednesday FC ,1995,ENG,0,1,0,1,1,0,3
10,(Sat) 21 Oct 1995 (W42),Manchester City FC ,0-0,0-0,Leeds United FC ,1995,ENG,0,0,0,0,0,1,1
