#,team,rating,league
1,Bayern München,2206,Germany Bundesliga
2,Liverpool,2119,England Premier League
3,PSG,2092,France Ligue 1
4,Barcelona,2086,Spain Primera División
5,Manchester City,2082,England Premier League
6,Real Madrid,2066,Spain Primera División
7,Atlético Madrid,2045,Spain Primera División
8,Sevilla,1999,Spain Primera División
9,Internazionale,1994,Italy Serie A
10,Chelsea,1993,England Premier League
11,Juventus,1992,Italy Serie A
12,Borussia Dortmund,1988,Germany Bundesliga
13,RB Leipzig,1984,Germany Bundesliga
14,Manchester United,1979,England Premier League
15,Shakhtar Donetsk,1966,Ukraine FAVBET Liga
16,Atalanta,1961,Italy Serie A
17,Bayer Leverkusen,1944,Germany Bundesliga
18,Arsenal,1937,England Premier League
19,Salzburg,1926,Austria Bundesliga
20,Wolverhampton Wanderers,1921,England Premier League
21,Real Sociedad,1918,Spain Primera División
22,Tottenham Hotspur,1917,England Premier League
23,Villarreal,1913,Spain Primera División
24,Milan,1910,Italy Serie A
25,Borussia Mgladbach,1906,Germany Bundesliga
26,Napoli,1905,Italy Serie A
27,Granada,1894,Spain Primera División
28,Lazio,1891,Italy Serie A
29,Osasuna,1887,Spain Primera División
30,Porto,1886,Portugal Primeira Liga
31,Athletic Club,1885,Spain Primera División
32,Valencia,1884,Spain Primera División
33,Zenit,1881,Russia Premier League
34,Getafe,1880,Spain Primera División
35,Club Brugge,1877,Belgium First Division A
36,Roma,1876,Italy Serie A
37,Leicester City,1874,England Premier League
38,Celtic,1868,Scotland Premiership
39,Hoffenheim,1864,Germany Bundesliga
40,Benfica,1863,Portugal Primeira Liga
41,Olympiakos Piraeus,1853,Greece Super League
42,Southampton,1852,England Premier League
43,Burnley,1851,England Premier League
44,Levante,1850,Spain Primera División
45,Ajax,1849,Netherlands Eredivisie
46,Olympique Lyonnais,1849,France Ligue 1
47,Wolfsburg,1848,Germany Bundesliga
48,Everton,1847,England Premier League
49,Olympique Marseille,1839,France Ligue 1
50,Sheffield United,1838,England Premier League
51,Eintracht Frankfurt,1832,Germany Bundesliga
52,Eibar,1827,Spain Primera División
53,Leganés,1817,Spain Primera División
54,Young Boys,1812,Switzerland Super League
55,Real Valladolid,1811,Spain Primera División
56,Real Betis,1810,Spain Primera División
57,Celta de Vigo,1808,Spain Primera División
58,Freiburg,1807,Germany Bundesliga
59,Newcastle United,1807,England Premier League
60,Slavia Praha,1806,Czech Republic Fortuna Liga
61,Lille,1806,France Ligue 1
62,Deportivo Alavés,1800,Spain Primera División
63,LASK Linz,1799,Austria Bundesliga
64,Hertha BSC,1788,Germany Bundesliga
65,CFR Cluj,1788,Romania Liga I
66,Crystal Palace,1787,England Premier League
67,West Ham United,1786,England Premier League
68,Brighton & Hove Albion,1786,England Premier League
69,Basel,1785,Switzerland Super League
70,Rangers,1780,Scotland Premiership
71,Sassuolo,1779,Italy Serie A
72,Dinamo Zagreb,1775,Croatia 1. HNL
73,Sporting CP,1773,Portugal Primeira Liga
74,Rennes,1772,France Ligue 1
75,Fiorentina,1769,Italy Serie A
76,Union Berlin,1767,Germany Bundesliga
77,Maccabi Tel Aviv,1766,Israel Ligat ha'Al
78,Mainz 05,1765,Germany Bundesliga
79,Schalke 04,1764,Germany Bundesliga
80,Rapid Wien,1764,Austria Bundesliga
81,Watford,1764,England Premier League
82,Gent,1763,Belgium First Division A
83,Sporting Braga,1763,Portugal Primeira Liga
84,Molde,1761,Norway Eliteserien
85,Werder Bremen,1759,Germany Bundesliga
86,İstanbul Başakşehir,1758,Turkey Süper Lig
87,Leeds United,1755,England Championship
88,PSV,1754,Netherlands Eredivisie
89,PAOK,1754,Greece Super League
90,Lokomotiv Moskva,1752,Russia Premier League
91,Montpellier,1751,France Ligue 1
92,Espanyol,1751,Spain Primera División
93,Sporting Charleroi,1750,Belgium First Division A
94,AZ,1748,Netherlands Eredivisie
95,Reims,1744,France Ligue 1
96,Mallorca,1744,Spain Primera División
97,Antwerp,1744,Belgium First Division A
98,Feyenoord,1744,Netherlands Eredivisie
99,Fortuna Düsseldorf,1742,Germany Bundesliga
100,Bologna,1742,Italy Serie A
101,Dynamo Kyiv,1741,Ukraine FAVBET Liga
102,Augsburg,1741,Germany Bundesliga
103,Crvena Zvezda,1741,Serbia Super Liga
104,Viktoria Plzeň,1740,Czech Republic Fortuna Liga
105,Aston Villa,1739,England Premier League
106,Hellas Verona,1739,Italy Serie A
107,Wolfsberger AC,1737,Austria Bundesliga
108,Nice,1734,France Ligue 1
109,AFC Bournemouth,1734,England Premier League
110,Midtjylland,1734,Denmark Superliga
111,Malmö FF,1730,Sweden Allsvenskan
112,Köln,1730,Germany Bundesliga
113,Fulham,1728,England Championship
114,Udinese,1728,Italy Serie A
115,Cagliari,1725,Italy Serie A
116,Slovan Bratislava,1724,Slovakia Super Liga
117,Sampdoria,1723,Italy Serie A
118,Huesca,1722,Spain Segunda División
119,Zorya,1721,Ukraine FAVBET Liga
120,AEK Athens,1721,Greece Super League
121,Krasnodar,1720,Russia Premier League
122,Monaco,1718,France Ligue 1
123,Bordeaux,1716,France Ligue 1
124,Parma,1716,Italy Serie A
125,Strasbourg,1715,France Ligue 1
126,West Bromwich Albion,1715,England Championship
127,Trabzonspor,1715,Turkey Süper Lig
128,Standard Liège,1715,Belgium First Division A
129,Rayo Vallecano,1713,Spain Segunda División
130,Girona,1711,Spain Segunda División
131,Angers,1710,France Ligue 1
132,Bodø / Glimt,1710,Norway Eliteserien
133,Torino,1709,Italy Serie A
134,St. Gallen,1708,Switzerland Super League
135,Genk,1708,Belgium First Division A
136,Metz,1706,France Ligue 1
137,Rijeka,1706,Croatia 1. HNL
138,Brentford,1701,England Championship
139,Saint-Étienne,1699,France Ligue 1
140,APOEL,1698,Cyprus 1. Division
141,Cádiz,1698,Spain Segunda División
142,Beşiktaş,1696,Turkey Süper Lig
143,Genoa,1694,Italy Serie A
144,Universitatea Craiova,1694,Romania Liga I
145,Nantes,1691,France Ligue 1
146,København,1689,Denmark Superliga
147,Rio Ave,1687,Portugal Primeira Liga
148,Norrköping,1687,Sweden Allsvenskan
149,FCS Bucureşti,1687,Romania Liga I
150,Norwich City,1686,England Premier League
151,CSKA Moskva,1686,Russia Premier League
152,Fuenlabrada,1685,Spain Segunda División
153,AEK Larnaca,1683,Cyprus 1. Division
154,Brest,1683,France Ligue 1
155,Anderlecht,1682,Belgium First Division A
156,Elche,1681,Spain Segunda División
157,Málaga,1681,Spain Segunda División
158,Vitória Guimarães,1680,Portugal Primeira Liga
160,Almería,1677,Spain Segunda División
161,Real Zaragoza,1677,Spain Segunda División
162,Galatasaray,1677,Turkey Süper Lig
163,Sparta Praha,1675,Czech Republic Fortuna Liga
164,Famalicão,1675,Portugal Primeira Liga
165,Mirandés,1674,Spain Segunda División
167,Las Palmas,1670,Spain Segunda División
168,Omonia Nicosia,1669,Cyprus 1. Division
169,Cardiff City,1669,England Championship
170,Sporting Gijón,1668,Spain Segunda División
171,Lokomotiva Zagreb,1667,Croatia 1. HNL
172,Partizan,1667,Serbia Super Liga
173,Dijon,1666,France Ligue 1
174,Real Oviedo,1664,Spain Segunda División
175,Tenerife,1663,Spain Segunda División
177,Anorthosis,1663,Cyprus 1. Division
178,Servette,1662,Switzerland Super League
